scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
social_yield,-,4,PASS,0.1959,0,1,8.128,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_4_1785841526
social_yield,-,5,PASS,0.2481,0,1,8.424,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_5_1785841757
social_yield,-,6,PASS,0.2294,0,1,7.963,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_1_1785844660
social_yield,-,7,FAIL,0.0449,0,3,7.885,YIELD_MOVE/YIELD_WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL/YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,min_clearance 0.045 <= 0.1,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_2_1785844892
social_yield,-,8,PASS,0.2423,0,1,7.925,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_3_1785845123
social_yield,-,9,PASS,0.1091,0,2,9.045,YIELD_MOVE/YIELD_WAIT/STOP/WAIT/RESUME/NOMINAL/YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_4_1785845355
social_yield,-,10,PASS,0.2394,0,1,7.942,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_5_1785845587
static_stop,-,1,PASS,0.3635,0,0,10.136,SLOW_DOWN/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_1_1785841988
static_stop,-,2,FAIL,0.3261,0,0,10.329,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_2_1785842154
static_stop,-,3,FAIL,0.3837,0,0,10.131,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_3_1785842321
static_stop,-,4,FAIL,0.3605,0,0,10.266,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_4_1785842488
static_stop,-,5,FAIL,0.3187,0,0,10.402,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_5_1785842655
static_stop,real_l2.yaml,1,FAIL,0.3477,0,0,10.064,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_1_1785843674
static_stop,real_l2.yaml,2,FAIL,0.3249,0,0,10.172,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_2_1785843841
static_stop,real_l2.yaml,3,FAIL,0.3687,0,0,10.459,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/static_stop_3_1785844008
bike_head_on_4ms,real_l2.yaml,1,PASS,0.3676,0,1,9.074,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_1_1785844179
bike_head_on_4ms,real_l2.yaml,2,PASS,0.4171,0,2,8.749,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_2_1785844327
bike_head_on_4ms,real_l2.yaml,3,PASS,0.4083,0,3,8.829,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_3_1785844475
